Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Temperature,Wind Direction,Wind Speed
2011,1,1,0,0,0,0,19,113.5,2.7
2011,1,1,1,0,0,0,19,112.1,2.7
2011,1,1,2,0,0,0,18,108.7,2.6
2011,1,1,3,0,0,0,18,103,2.5
2011,1,1,4,0,0,0,18,97.7,2.5
2011,1,1,5,0,0,0,15,99.1,0.7
2011,1,1,6,0,0,0,16,82.6,0.9
2011,1,1,7,0,137,137,18,72.8,0.9
2011,1,1,8,0,349,349,21,54.5,0.6
2011,1,1,9,0,540,540,24,6.2,0.4
2011,1,1,10,0,682,682,25,320.4,0.4
2011,1,1,11,0,759,759,26,301.8,0.6
2011,1,1,12,0,764,764,26,301,0.8
2011,1,1,13,0,696,696,26,306.1,1
2011,1,1,14,0,562,562,26,313.1,1.1
2011,1,1,15,0,378,378,25,318.3,1.1
2011,1,1,16,0,167,169,23,320.6,1.2
2011,1,1,17,0,0,4,22,328.9,1.2
2011,1,1,18,0,0,0,21,346.4,1.2
2011,1,1,19,0,0,0,20,5.3,1.4
2011,1,1,20,0,0,0,20,20.4,1.7
2011,1,1,21,0,0,0,19,30.7,2.1
2011,1,1,22,0,0,0,18,38,2.4
2011,1,1,23,0,0,0,18,43.7,2.5
2011,1,2,0,0,0,0,17,48.5,2.5
2011,1,2,1,0,0,0,17,52.4,2.5
2011,1,2,2,0,0,0,16,55.1,2.4
2011,1,2,3,0,0,0,16,56.8,2.3
2011,1,2,4,0,0,0,16,56.5,2.2
2011,1,2,5,0,0,0,15,54.8,2.3
2011,1,2,6,0,0,0,16,52.2,2.3
2011,1,2,7,0,130,133,18,50.9,2
2011,1,2,8,0,343,343,21,52,1.8
2011,1,2,9,0,533,533,24,55.8,1.5
2011,1,2,10,0,676,676,26,62.3,1.1
2011,1,2,11,0,754,754,27,72.4,0.8
2011,1,2,12,0,759,759,27,90.9,0.6
2011,1,2,13,0,693,693,27,106.1,0.5
2011,1,2,14,0,561,561,26,109,0.5
2011,1,2,15,0,378,378,25,107.3,0.5
2011,1,2,16,0,162,170,24,91.7,0.6
