Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Temperature,Wind Direction,Wind Speed,
2013,1,1,0,0,0,0,16,114,2.3,N/A
2013,1,1,1,0,0,0,16,110.7,2.4,N/A
2013,1,1,2,0,0,0,15,106.1,2.4,N/A
2013,1,1,3,0,0,0,15,101.6,2.3,N/A
2013,1,1,4,0,0,0,15,96.6,2.2,N/A
2013,1,1,5,0,0,0,19,222.6,1.1,N/A
2013,1,1,6,0,0,0,20,214.1,1,N/A
2013,1,1,7,0,109,123,22,212.9,0.9,N/A
2013,1,1,8,0,324,325,24,227,0.9,N/A
2013,1,1,9,0,392,509,26,246.7,0.9,N/A
2013,1,1,10,0,590,647,27,262.5,1,N/A
2013,1,1,11,0,724,724,28,272.1,1.1,N/A
2013,1,1,12,0,730,730,28,276.9,1.1,N/A
2013,1,1,13,0,554,665,28,281.2,1,N/A
2013,1,1,14,0,491,537,27,283.6,0.9,N/A
2013,1,1,15,0,268,359,26,289.4,0.8,N/A
2013,1,1,16,0,155,158,25,296,0.7,N/A
2013,1,1,17,0,0,3,23,298.3,0.4,N/A
2013,1,1,18,0,0,0,24,241.6,0.1,N/A
2013,1,1,19,0,0,0,24,153.6,0.4,N/A
2013,1,1,20,0,0,0,23,158.8,0.8,N/A
2013,1,1,21,0,0,0,23,166.9,1.2,N/A
2013,1,1,22,0,0,0,22,174.5,1.5,N/A
2013,1,1,23,0,0,0,22,180.4,1.8,N/A
2013,1,2,0,0,0,0,21,184.9,1.9,N/A
2013,1,2,1,0,0,0,20,189.4,1.9,N/A
2013,1,2,2,0,0,0,20,194.5,1.9,N/A
2013,1,2,3,0,0,0,19,200.9,1.7,N/A
2013,1,2,4,0,0,0,19,206.6,1.7,N/A
2013,1,2,5,0,0,0,18,208.3,1.6,N/A
2013,1,2,6,0,0,0,19,204.7,1.6,N/A
2013,1,2,7,0,107,124,21,200.5,1.5,N/A
2013,1,2,8,0,329,329,24,206.8,1.6,N/A
2013,1,2,9,0,516,516,26,215.6,1.5,N/A
2013,1,2,10,0,657,657,27,222.9,1.5,N/A
2013,1,2,11,0,729,734,28,230,1.5,N/A
2013,1,2,12,0,740,740,28,233.8,1.6,N/A
2013,1,2,13,0,675,675,28,234.8,1.7,N/A
2013,1,2,14,0,546,546,27,233.2,1.8,N/A
2013,1,2,15,0,366,366,26,232.1,1.8,N/A
2013,1,2,16,0,163,163,25,229.1,1.7,N/A
2013,1,2,17,0,1,4,24,221.7,1.8,N/A
2013,1,2,18,0,0,0,23,215.1,1.9,N/A
2013,1,2,19,0,0,0,23,209.8,2.1,N/A
2013,1,2,20,0,0,0,22,208.8,2.1,N/A
2013,1,2,21,0,0,0,22,210.5,2.1,N/A
2013,1,2,22,0,0,0,21,213.7,2.1,N/A
2013,1,2,23,0,0,0,21,218.2,2.1,N/A
2013,1,3,0,0,0,0,20,224.5,2,N/A
2013,1,3,1,0,0,0,20,232.4,1.9,N/A
2013,1,3,2,0,0,0,19,239,1.8,N/A
2013,1,3,3,0,0,0,19,241,1.7,N/A
2013,1,3,4,0,0,0,19,239.7,1.5,N/A
2013,1,3,5,0,0,0,19,238.9,1.2,N/A
2013,1,3,6,0,0,0,20,247.1,0.9,N/A
2013,1,3,7,0,118,122,21,277.3,0.6,N/A
2013,1,3,8,0,323,323,24,289.2,1,N/A
2013,1,3,9,0,509,509,26,296.8,1.4,N/A
2013,1,3,10,0,649,649,27,301.4,1.5,N/A
2013,1,3,11,0,728,728,28,301.2,1.6,N/A
2013,1,3,12,0,736,736,28,299.6,1.6,N/A
2013,1,3,13,0,673,673,28,299.2,1.5,N/A
2013,1,3,14,0,544,544,27,300.8,1.4,N/A
2013,1,3,15,0,365,365,26,305.8,1.2,N/A
