Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Temperature,Wind Direction,Wind Speed,
2014,1,1,0,0,0,0,15,71.5,3.4,N/A
2014,1,1,1,0,0,0,15,69.3,3.3,N/A
2014,1,1,2,0,0,0,15,67.1,3.4,N/A
2014,1,1,3,0,0,0,15,65.4,3.5,N/A
2014,1,1,4,0,0,0,15,63.9,3.6,N/A
2014,1,1,5,0,0,0,14,90.3,2.1,N/A
2014,1,1,6,0,0,0,16,83.6,2,N/A
2014,1,1,7,0,121,127,18,77.8,1.7,N/A
2014,1,1,8,0,334,334,22,67.5,1.4,N/A
2014,1,1,9,0,525,525,24,49.7,1.4,N/A
2014,1,1,10,0,667,667,26,42.3,1.3,N/A
2014,1,1,11,0,745,745,27,42.6,1.2,N/A
2014,1,1,12,0,751,751,27,48.4,1,N/A
2014,1,1,13,0,684,684,27,55.6,0.9,N/A
2014,1,1,14,0,552,552,26,54,0.9,N/A
2014,1,1,15,0,369,369,25,49,1,N/A
2014,1,1,16,0,149,162,23,45.5,1.1,N/A
2014,1,1,17,0,0,3,22,45.5,1.3,N/A
2014,1,1,18,0,0,0,21,45.9,1.5,N/A
2014,1,1,19,0,0,0,20,46.6,1.7,N/A
2014,1,1,20,0,0,0,19,50.8,1.8,N/A
2014,1,1,21,0,0,0,19,54.6,1.9,N/A
2014,1,1,22,0,0,0,18,57.2,2,N/A
2014,1,1,23,0,0,0,17,60.1,2.1,N/A
2014,1,2,0,0,0,0,17,63.4,2.2,N/A
2014,1,2,1,0,0,0,16,66.6,2.2,N/A
2014,1,2,2,0,0,0,16,71,2.2,N/A
2014,1,2,3,0,0,0,16,75.1,2.2,N/A
2014,1,2,4,0,0,0,15,77.7,2.2,N/A
2014,1,2,5,0,0,0,15,78.3,2.3,N/A
2014,1,2,6,0,0,0,16,76.5,2.3,N/A
2014,1,2,7,0,125,127,19,73.4,2,N/A
2014,1,2,8,0,335,335,22,66.6,1.5,N/A
2014,1,2,9,0,525,525,25,52.3,1.7,N/A
2014,1,2,10,0,668,668,26,37.7,1.7,N/A
2014,1,2,11,0,746,746,27,27.3,1.7,N/A
2014,1,2,12,0,753,753,27,22.4,1.7,N/A
2014,1,2,13,0,686,686,27,22.1,1.8,N/A
2014,1,2,14,0,555,555,26,20,1.9,N/A
2014,1,2,15,0,372,372,25,18.4,2,N/A
2014,1,2,16,0,152,164,23,20.5,2.1,N/A
2014,1,2,17,0,1,3,21,26.3,2.4,N/A
2014,1,2,18,0,0,0,20,32.6,2.5,N/A
2014,1,2,19,0,0,0,19,37,2.6,N/A
2014,1,2,20,0,0,0,18,40.5,2.4,N/A
2014,1,2,21,0,0,0,18,44.2,2.2,N/A
2014,1,2,22,0,0,0,17,46.6,2.1,N/A
2014,1,2,23,0,0,0,17,47.3,2,N/A
2014,1,3,0,0,0,0,16,46.1,1.9,N/A
2014,1,3,1,0,0,0,16,42.6,1.8,N/A
2014,1,3,2,0,0,0,16,44.3,2,N/A
2014,1,3,3,0,0,0,15,46.9,2.1,N/A
2014,1,3,4,0,0,0,15,48.5,2.2,N/A
2014,1,3,5,0,0,0,15,49.9,2.3,N/A
2014,1,3,6,0,0,0,16,51.8,2.4,N/A
2014,1,3,7,0,124,125,19,53.6,2.1,N/A
2014,1,3,8,0,332,332,22,50.6,1.6,N/A
2014,1,3,9,0,522,522,24,38,1.5,N/A
2014,1,3,10,0,665,665,26,26.7,1.4,N/A
2014,1,3,11,0,744,744,26,18.6,1.5,N/A
2014,1,3,12,0,752,752,27,14.6,1.6,N/A
2014,1,3,13,0,686,686,26,15.1,1.8,N/A
2014,1,3,14,0,555,555,26,17.3,1.9,N/A
2014,1,3,15,0,373,373,24,19.6,1.9,N/A
2014,1,3,16,0,155,166,22,23.6,1.9,N/A
2014,1,3,17,0,1,4,20,30.7,2.1,N/A
2014,1,3,18,0,0,0,20,38.8,2.3,N/A
2014,1,3,19,0,0,0,19,45.9,2.3,N/A
2014,1,3,20,0,0,0,18,53.3,2.2,N/A
2014,1,3,21,0,0,0,18,59.3,2.2,N/A
2014,1,3,22,0,0,0,17,64.5,2.1,N/A
2014,1,3,23,0,0,0,17,70.5,2.1,N/A
2014,1,4,0,0,0,0,17,76.3,2.1,N/A
2014,1,4,1,0,0,0,16,80.8,2.1,N/A
2014,1,4,2,0,0,0,16,81.1,2.1,N/A
2014,1,4,3,0,0,0,16,77.8,2.1,N/A
2014,1,4,4,0,0,0,15,71.6,2.1,N/A
2014,1,4,5,0,0,0,15,64.6,2.2,N/A
2014,1,4,6,0,0,0,16,61,2.3,N/A
2014,1,4,7,0,123,123,19,62.4,2.1,N/A
2014,1,4,8,0,329,329,22,64.2,1.8,N/A
2014,1,4,9,0,518,518,25,53.6,1.8,N/A
2014,1,4,10,0,661,661,26,42.3,1.6,N/A
2014,1,4,11,0,740,740,27,28.5,1.4,N/A
2014,1,4,12,0,747,747,27,29.1,1.3,N/A
