,0
0,0.06681271
1,0.38326713
2,0.5883488
3,0.7053077
4,0.7115193
5,0.6275318
6,0.4919642
7,0.29289714
8,0.101006545
9,0.030872919
10,0.2961917
11,0.5452216
12,0.6989933
13,0.7931364
14,0.79838246
15,0.71864873
16,0.5783564
17,0.38717595
18,0.16654612
19,0.034954816
20,0.16022089
21,0.34015518
22,0.5341633
23,0.68623
24,0.7615439
25,0.75370765
26,0.67318976
27,0.54650885
28,0.35979414
29,0.1431004
30,0.009768382
31,0.1493127
32,0.33759502
33,0.5255396
34,0.68116933
35,0.7636072
36,0.76174945
37,0.68261814
38,0.55574566
39,0.38243702
40,0.16069958
41,0.0032886341
42,0.11450095
43,0.3395091
44,0.52571845
45,0.6829329
46,0.7655762
47,0.7637596
48,0.68440616
49,0.5573568
50,0.38213104
51,0.16061129
52,0.0045964494
53,0.113037705
54,0.3303218
55,0.5185452
56,0.6724295
57,0.754844
58,0.75376153
59,0.67618126
60,0.552598
61,0.38041055
62,0.16126089
63,0.0064513013
64,0.10495495
65,0.3195439
66,0.5158253
67,0.66530555
68,0.7297738
69,0.7568186
70,0.6825209
71,0.55911154
72,0.33312914
73,0.15221669
74,0.0128751695
75,0.10129958
76,0.32140273
77,0.51507026
78,0.6705952
79,0.75583297
80,0.75713956
81,0.6805524
82,0.5575331
83,0.3853691
84,0.16621318
85,0.0064568296
86,0.09607762
87,0.31528088
88,0.5118647
89,0.667866
90,0.75528187
91,0.75830966
92,0.68208724
93,0.5586581
94,0.38735193
95,0.16836408
96,0.0106810555
97,0.08990656
98,0.3150733
99,0.5120625
100,0.6696762
101,0.75613004
102,0.75823313
103,0.66480976
104,0.5519217
105,0.3857829
106,0.16867897
107,0.009269521
108,0.0948569
109,0.32028615
110,0.5196737
111,0.67558146
112,0.7618594
113,0.76318973
114,0.6863212
115,0.56207347
116,0.38885587
117,0.16871437
118,0.009870984
119,0.094930604
120,0.31737366
121,0.5160891
122,0.67233616
123,0.7595352
124,0.7641327
125,0.6885888
126,0.56521475
127,0.39401194
128,0.17229927
129,0.010230109
130,0.0924057
131,0.30987215
132,0.47724333
133,0.67273456
134,0.75940156
135,0.6949356
136,0.67451817
137,0.49008027
138,0.35905814
139,0.096015796
140,0.070831716
141,0.083924405
142,0.29321793
143,0.50022817
144,0.6565991
145,0.74650276
146,0.7505128
147,0.676575
148,0.55782586
149,0.3797757
150,0.16724221
151,0.01286491
152,0.07298586
153,0.3072897
154,0.5073889
155,0.66475326
156,0.75538135
157,0.76181173
158,0.6882736
159,0.56693214
160,0.3991962
161,0.17969742
162,0.016425781
163,0.073465176
164,0.31229818
165,0.51337147
166,0.67024875
167,0.75825703
168,0.7625558
169,0.68810415
170,0.5651977
171,0.3931539
172,0.17379075
173,0.01398585
174,0.0868373
175,0.3157272
176,0.51510787
177,0.67284083
178,0.76157767
179,0.76706237
180,0.6936012
181,0.5711114
182,0.40029228
183,0.17843577
184,0.010205664
185,0.0908859
186,0.32515067
187,0.5228685
188,0.6814912
189,0.7693935
190,0.77472585
191,0.7007879
192,0.5762161
193,0.40275383
194,0.17930293
195,0.012355551
196,0.091090515
197,0.324095
198,0.5226014
199,0.68142253
200,0.77121323
201,0.77778137
202,0.70586437
203,0.58078295
204,0.4098703
205,0.18485057
206,0.014338039
207,0.08800175
208,0.326784
209,0.5266317
210,0.6860394
211,0.77541286
212,0.6275397
213,0.62897193
214,0.52059275
215,0.3973229
216,0.18471816
217,0.012567721
218,0.08934155
219,0.33148488
220,0.5236904
221,0.68551815
222,0.77609926
223,0.7834039
224,0.68064314
225,0.57718205
226,0.22215572
227,0.19970962
228,0.033556536
229,0.10142287
230,0.31413054
231,0.5203226
232,0.6783947
233,0.7668759
234,0.7719487
235,0.69854903
236,0.57701635
237,0.36404297
238,0.18070728
239,0.0033245608
240,0.108672924
241,0.30335674
242,0.52004343
243,0.6251409
244,0.7704679
245,0.6861896
246,0.5844352
247,0.40569457
248,0.3923783
249,0.10626231
250,0.064927146
251,0.076277666
252,0.30556726
253,0.49793088
254,0.6570321
255,0.74823123
256,0.7536725
257,0.6813579
258,0.5639752
259,0.3951435
260,0.17910522
261,0.014396638
262,0.070933886
263,0.3286475
264,0.51625234
265,0.67823994
266,0.7409221
