,0
0,0.08322735
1,0.3972587
2,0.6021273
3,0.71351004
4,0.7132567
5,0.6266332
6,0.4879517
7,0.28791034
8,0.09820933
9,0.053511545
10,0.2993302
11,0.5565806
12,0.7074021
13,0.8031142
14,0.80987746
15,0.7295416
16,0.5885135
17,0.3978086
18,0.17492926
19,0.03672146
20,0.1560086
21,0.29071674
22,0.5457165
23,0.6945782
24,0.7771554
25,0.7754658
26,0.6957869
27,0.5656734
28,0.3683411
29,0.15268552
30,0.0
31,0.18310067
32,0.33250305
33,0.5306467
34,0.6758661
35,0.719933
36,0.73309815
37,0.4677925
38,0.52780217
39,0.37206596
40,0.1560356
41,0.0
42,0.12426549
43,0.34128824
44,0.5383637
45,0.69426906
46,0.77942353
47,0.7810653
48,0.70415586
49,0.57495594
50,0.3995185
51,0.17222945
52,0.0060693994
53,0.09083469
54,0.33807883
55,0.55438983
56,0.7106459
57,0.7882534
58,0.78745556
59,0.70969826
60,0.57540673
61,0.40660346
62,0.1769369
63,0.007191293
64,0.10840439
65,0.35420665
66,0.55474514
67,0.71128136
68,0.79495996
69,0.79537845
70,0.70597404
71,0.57572925
72,0.3966749
73,0.17045501
74,0.0064605996
75,0.12532447
76,0.35456252
77,0.5482973
78,0.70608765
79,0.788745
80,0.7893454
81,0.7122056
82,0.58147204
83,0.399347
84,0.17237177
85,0.006666146
86,0.119819365
87,0.35513118
88,0.5458787
89,0.7044808
90,0.7878539
91,0.7897439
92,0.7136299
93,0.58296525
94,0.40203375
95,0.17463899
96,0.00923796
97,0.11419948
98,0.35742727
99,0.547581
100,0.7074277
101,0.7928018
102,0.7960984
103,0.72094125
104,0.5889998
105,0.40760916
106,0.17901894
107,0.0082235485
108,0.11569042
109,0.35681042
110,0.5597243
111,0.72416574
112,0.7979931
113,0.7989223
114,0.72519135
115,0.5943971
116,0.4208859
117,0.1880174
118,0.0075979754
119,0.11639394
120,0.3652146
121,0.5638128
122,0.7261153
123,0.81449956
124,0.8038053
125,0.7411738
126,0.605836
127,0.4188548
128,0.18270904
129,0.010739386
130,0.12151771
131,0.36562765
132,0.5660499
133,0.7295341
134,0.8057428
135,0.807863
136,0.7473586
137,0.6112886
138,0.42576826
139,0.19026703
140,0.007937737
141,0.12101688
142,0.36611277
143,0.5668139
144,0.7300896
145,0.82041895
146,0.8268433
147,0.75127834
148,0.61255854
149,0.42662704
150,0.19135141
151,0.013072163
152,0.11631501
153,0.36038467
154,0.5606892
155,0.72506195
156,0.8159059
157,0.8231392
158,0.74895936
159,0.61177444
160,0.42645878
161,0.19243732
162,0.015486032
163,0.11284723
164,0.36650944
165,0.5511492
166,0.7145205
167,0.8014129
168,0.8070714
169,0.73364514
170,0.5997633
171,0.41739446
172,0.18634614
173,0.015101038
174,0.11779702
175,0.36464477
176,0.5582359
177,0.72505623
178,0.8176674
179,0.82776433
180,0.7566854
181,0.62116784
182,0.4380082
183,0.20029539
184,0.0145992115
185,0.10623555
186,0.36418378
187,0.56757313
188,0.73819774
189,0.8332823
190,0.8457007
191,0.77455974
192,0.6343977
193,0.44737056
194,0.20648226
195,0.018820621
196,0.10419141
197,0.37083152
198,0.56031144
199,0.7281628
200,0.82021266
201,0.83050823
202,0.7585992
203,0.62073946
204,0.43540826
205,0.19903412
206,0.018693253
207,0.11414114
208,0.36343536
209,0.56295574
210,0.7299094
211,0.82315576
212,0.8347549
213,0.76483196
214,0.628038
215,0.44299886
216,0.20436132
217,0.018076114
218,0.10940552
219,0.3654375
220,0.56852204
221,0.73642546
222,0.83187026
223,0.84530836
224,0.7753644
225,0.63726944
226,0.45056212
227,0.20996806
228,0.019370914
229,0.105248034
230,0.36679256
231,0.5668306
232,0.7358537
233,0.83253175
234,0.8473149
235,0.7795214
236,0.6411389
237,0.45394146
238,0.21313855
239,0.020993195
240,0.10524274
241,0.3675294
242,0.571548
243,0.7405438
244,0.83823544
245,0.85273147
246,0.7844091
247,0.645425
248,0.45791036
249,0.21660224
250,0.019507937
251,0.10557131
252,0.3692294
253,0.5705112
254,0.7394241
255,0.8357441
256,0.8503388
257,0.7823019
258,0.6434532
259,0.45555657
260,0.2149488
261,0.023576073
262,0.1070046
263,0.36961633
264,0.56284827
265,0.73159575
266,0.8271544
267,0.84132004
268,0.7746244
269,0.63733935
270,0.45185664
271,0.21232846
272,0.023682259
273,0.10725903
274,0.37118462
275,0.56565654
276,0.73529124
277,0.83229256
278,0.8474911
279,0.78101057
280,0.64317936
281,0.45581865
282,0.21630062
283,0.02388414
284,0.10529708
285,0.37235847
286,0.565736
287,0.7359408
288,0.8334033
289,0.84907395
290,0.78220063
291,0.6448061
292,0.45786384
293,0.21729738
294,0.024819173
295,0.105699815
296,0.3654184
297,0.566875
298,0.7353732
299,0.8326903
300,0.8496376
301,0.78484863
302,0.6481914
303,0.4613166
304,0.22136018
305,0.025901578
306,0.10351419
307,0.3746029
308,0.5702402
309,0.7404578
310,0.8377967
311,0.8535897
312,0.78761023
313,0.6506191
314,0.46193305
315,0.2216264
316,0.02677659
317,0.10660881
318,0.36902
319,0.57790697
320,0.7491881
321,0.84994173
322,0.8690589
323,0.8046262
324,0.6655411
325,0.4741615
326,0.22977898
327,0.02882909
328,0.0989245
329,0.37055698
330,0.57385236
331,0.7438015
332,0.84371537
333,0.8623564
334,0.7982909
335,0.66109234
336,0.47012937
337,0.22806862
338,0.02976472
339,0.102706045
340,0.36728647
341,0.5654472
342,0.73631495
343,0.835197
344,0.8541119
345,0.79060316
346,0.65416455
347,0.46589833
348,0.22492102
349,0.029043548
350,0.10684231
351,0.36883792
352,0.5759882
353,0.7472691
354,0.8489912
355,0.8691943
356,0.8059819
357,0.66839767
358,0.47681886
359,0.23190802
360,0.028747313
361,0.1000475
362,0.37880206
363,0.5838213
364,0.7555379
365,0.85770583
366,0.87880963
367,0.81570476
368,0.6755892
369,0.48162854
370,0.23553362
371,0.030834801
372,0.10053069
373,0.3717783
374,0.5808069
375,0.7464349
376,0.85539514
377,0.87775487
378,0.8164056
379,0.6778865
380,0.48340523
381,0.23796818
382,0.033260457
383,0.09375543
384,0.38351536
385,0.58579004
386,0.7588849
387,0.8621817
388,0.8848624
389,0.8251268
390,0.68454653
391,0.48888597
392,0.24189961
393,0.033643
394,0.09371395
395,0.3773568
396,0.5891823
397,0.7613748
398,0.8660899
399,0.8894993
400,0.8303047
401,0.68922323
402,0.49252242
403,0.24483582
404,0.03627666
405,0.089802995
406,0.37941405
407,0.5923234
408,0.763216
409,0.86785865
410,0.8921407
411,0.8323084
412,0.6892912
413,0.49180886
414,0.24443385
415,0.03640241
416,0.09341083
417,0.37482262
418,0.5909137
419,0.76349664
420,0.8702087
421,0.89690816
422,0.8413561
423,0.7007393
424,0.5036466
425,0.2540372
426,0.0408575
427,0.08240587
428,0.38421768
429,0.5973949
430,0.76985985
431,0.8750995
432,0.90027887
433,0.8420934
434,0.69992685
435,0.500292
436,0.25148022
437,0.040263437
438,0.08913233
439,0.37852824
440,0.5907377
441,0.7617621
442,0.86649555
443,0.8917826
444,0.8356752
445,0.6951029
446,0.49702954
447,0.24951944
448,0.04039619
449,0.090930514
450,0.3819815
451,0.59663755
452,0.767065
453,0.87285227
454,0.8988683
455,0.84343994
456,0.7023714
457,0.5032126
458,0.25398675
459,0.04187808
460,0.08871863
461,0.38347602
462,0.59771305
463,0.76848793
464,0.87408966
465,0.8998191
466,0.84401536
467,0.7018706
468,0.50207996
469,0.25371468
470,0.042408668
471,0.09009111
472,0.38672322
473,0.60935575
474,0.78242576
475,0.89015776
476,0.9181632
477,0.86116403
478,0.71769327
479,0.5167747
480,0.26476854
481,0.04636567
482,0.08236504
483,0.38828123
484,0.60509217
485,0.7769606
486,0.8840747
487,0.91248304
488,0.85609454
489,0.71192193
490,0.51086605
491,0.26208133
492,0.047399364
493,0.08146245
494,0.4004829
495,0.6131215
496,0.7861989
497,0.89447564
498,0.92261857
499,0.86653334
500,0.72332996
501,0.52274543
502,0.269283
503,0.051045053
504,0.08005398
505,0.40039355
506,0.6166826
507,0.79311997
508,0.89925915
509,0.925585
510,0.8671942
511,0.7208229
512,0.51679486
513,0.26607856
514,0.04961563
515,0.08575073
516,0.3810547
517,0.6010723
518,0.7691669
519,0.87535596
520,0.90258366
521,0.84683007
522,0.7040871
523,0.50308174
524,0.25615308
525,0.046168193
526,0.09134916
527,0.39550886
528,0.6071033
529,0.7765015
530,0.88108987
531,0.90762657
532,0.85029936
533,0.70613223
534,0.45571017
535,0.25808597
536,0.045986168
537,0.10568812
538,0.36700815
539,0.5962118
540,0.56871766
541,0.8724294
542,0.9086295
543,0.85244375
544,0.710249
545,0.50905085
546,0.26079395
547,0.00028398633
548,0.11781468
549,0.36287898
550,0.60901755
551,0.77463347
552,0.87977856
553,0.9077213
554,0.852844
555,0.6420323
556,0.49874908
557,0.2116934
558,0.05165025
559,0.09920226
560,0.28039092
561,0.3927459
562,0.5828664
563,0.8833546
564,0.78695124
565,0.8642934
566,0.71042293
567,0.5597242
568,0.30026352
569,0.074023314
570,0.015174083
571,0.3933686
572,0.61978537
573,0.7897372
574,0.89231807
575,0.9114011
576,0.7324565
577,0.64202726
578,0.4552495
579,0.12780115
580,0.13043723
581,0.1653624
582,0.4113822
583,0.6236057
584,0.78527826
585,0.8814526
586,0.90023816
587,0.83556354
588,0.6735613
589,0.30215293
590,0.18511078
591,0.11947056
592,0.15889323
593,0.41106862
594,0.62000585
595,0.78268164
596,0.878976
597,0.8991239
598,0.8363023
599,0.6951388
600,0.49996427
601,0.25366515
602,0.043886878
603,0.1088918
604,0.38852754
605,0.63344985
606,0.79975265
607,0.90771616
608,0.9292206
609,0.8772455
610,0.7316905
611,0.5299085
612,0.27810198
613,0.058684938
614,0.074898474
615,0.18589136
616,0.3864809
617,0.5830057
618,0.7088868
619,0.87476546
620,0.9187021
621,0.87477714
622,0.7352337
623,0.49915874
624,0.29278895
625,0.07498313
626,0.0077138096
627,0.17144774
628,0.3977212
629,0.613017
630,0.78262675
631,0.7678905
632,0.76659185
633,0.79868466
634,0.38969564
635,0.18637851
