,0
0,0.62916505
1,0.5218183
2,0.60954326
3,0.6165299
4,0.65532327
5,0.22381647
6,0.3821776
7,0.26165044
8,0.24672489
9,0.27489197
10,0.23582509
11,0.21946804
12,0.16935192
13,0.16576873
14,0.17520338
15,0.20330451
16,0.21918885
17,0.26897386
18,0.3039893
19,0.3369778
20,0.34032628
21,0.35833332
22,0.37680084
23,0.39112118
24,0.4063368
25,0.39141944
26,0.39013663
27,0.38841403
28,0.3870209
29,0.41616088
30,0.40221828
31,0.31581086
32,0.2111388
33,0.33645946
34,0.29248035
35,0.30618137
36,0.30556616
37,0.33758074
38,0.35435188
39,0.375507
40,0.39374083
41,0.47460902
42,0.46337444
43,0.4830722
44,0.4085702
45,0.37871242
46,0.3746674
47,0.355575
48,0.33582905
49,0.31723478
50,0.38918552
51,0.38503537
52,0.40323997
53,0.4196737
54,0.43677992
55,0.33402854
56,0.23037864
57,0.26987585
58,0.24375476
59,0.29276899
60,0.3061552
61,0.3550036
62,0.35663566
63,0.343899
64,0.34596485
65,0.4093484
66,0.43906692
67,0.41213503
68,0.38491887
69,0.39922515
70,0.36664963
71,0.38094988
72,0.37858462
73,0.3776867
74,0.3766498
75,0.37558746
76,0.37492335
77,0.4050163
78,0.42086738
79,0.3486548
80,0.28894085
81,0.33086097
82,0.26441255
83,0.23834528
84,0.23314144
85,0.24505353
86,0.24286976
87,0.24280825
88,0.2425688
89,0.2748717
90,0.31996524
91,0.3206803
92,0.3393206
93,0.3568051
94,0.31131563
95,0.2664239
96,0.17310716
97,0.11015287
98,0.04723893
99,0.037845135
100,0.028158754
101,0.0959633
102,0.11878686
103,0.09469515
104,0.04313004
105,0.043956637
106,0.025680006
107,0.13054398
108,0.17030707
109,0.22445583
110,0.21471153
111,0.23539019
112,0.25430328
113,0.23850758
114,0.20885226
115,0.2546176
116,0.26850176
117,0.2807675
118,0.32699794
119,0.32714772
120,0.31354624
121,0.34513056
122,0.24044085
123,0.1972177
124,0.12102421
125,0.11602904
126,0.107510954
127,0.14796138
128,0.10211828
129,0.18105558
130,0.26986802
131,0.33755004
132,0.34518763
133,0.32275867
134,0.32865787
135,0.2676745
136,0.26839274
137,0.2825163
138,0.3412425
139,0.3705614
140,0.37206408
141,0.32465416
142,0.33856446
143,0.3349002
144,0.33394292
145,0.33420557
146,0.3046586
147,0.32045472
148,0.31870368
149,0.35091865
150,0.36922097
151,0.26481527
152,0.19358204
153,0.047413886
154,0.0012943745
155,0.11178057
156,0.12377885
157,0.1318976
158,0.12128827
159,0.122993425
160,0.09283605
161,0.13943268
162,0.24727848
163,0.27503005
164,0.32763433
165,0.31794995
166,0.3348756
167,0.35231885
168,0.36833778
169,0.35307753
170,0.38267827
171,0.39767605
172,0.38436314
173,0.38567704
