,0
0,0.45176208
1,0.43911332
2,0.44132054
3,0.4317066
4,0.4520138
5,0.0
6,0.23990898
7,0.15090126
8,0.09784305
9,0.078826874
10,0.09725872
11,0.15092467
12,0.18048736
13,0.21654223
14,0.22185084
15,0.20983744
16,0.24499944
17,0.2291712
18,0.22994372
19,0.2950927
20,0.35722545
21,0.4343093
22,0.4680105
23,0.4581074
24,0.44509923
25,0.44449836
26,0.41301978
27,0.39842445
28,0.38011134
29,0.42579675
30,0.410384
31,0.3233115
32,0.30687654
33,0.2389478
34,0.16415617
35,0.12895842
36,0.10577589
37,0.100515485
38,0.11043809
39,0.108159274
40,0.13868423
41,0.25016817
42,0.28220594
43,0.30344307
44,0.34367606
45,0.4086638
46,0.3960986
47,0.41293785
48,0.40097767
49,0.39926714
50,0.39786077
51,0.3662819
52,0.37809882
53,0.40477705
54,0.3907899
55,0.33190155
56,0.36068612
57,0.2945537
58,0.20865068
59,0.17620432
60,0.15217057
61,0.1469492
62,0.13013731
63,0.14395002
64,0.1716109
65,0.2194849
66,0.25349063
67,0.28978372
68,0.29446948
69,0.31274003
70,0.33221805
71,0.34732002
72,0.36514303
73,0.34951663
74,0.3481605
75,0.37607333
76,0.35927358
77,0.3583247
78,0.35712242
79,0.2952063
80,0.29537624
81,0.2737714
82,0.22900282
83,0.25838125
84,0.28477046
85,0.30201215
86,0.26108268
87,0.24868764
88,0.23375994
89,0.21662095
90,0.26581746
91,0.2784791
92,0.29789734
93,0.3149897
94,0.36415344
95,0.36531213
96,0.41304392
97,0.41397148
98,0.3992163
99,0.39938843
100,0.36788833
101,0.41071838
102,0.3945634
103,0.2745002
104,0.27196243
105,0.2018027
106,0.15579697
107,0.10750717
108,0.08699234
109,0.13623893
110,0.115780994
111,0.09263706
112,0.10834473
113,0.13546924
114,0.18350258
115,0.21776044
116,0.22271487
117,0.24257474
118,0.29380322
119,0.29462224
120,0.34318188
121,0.3447537
122,0.36053073
123,0.34543383
124,0.40431878
125,0.43528223
126,0.46808165
127,0.35182703
128,0.33456373
129,0.3875926
130,0.37074804
131,0.3770518
132,0.37742198
133,0.37907624
134,0.3189588
135,0.25864905
136,0.30148566
137,0.3900969
138,0.44054124
139,0.43456906
140,0.48826933
141,0.48931068
142,0.5095243
143,0.46426636
144,0.48127416
145,0.4799598
146,0.4807312
147,0.45072258
148,0.4628914
149,0.42772108
150,0.41087222
151,0.298848
152,0.20390943
153,0.18002585
154,0.1234587
155,0.1056038
156,0.06910488
157,0.0658972
158,0.13274539
159,0.18928665
160,0.27488446
161,0.34624976
162,0.3863724
163,0.44071627
164,0.46199006
165,0.4671573
166,0.48528162
167,0.473324
168,0.47426137
169,0.4739784
170,0.4436831
171,0.45464772
172,0.4204597
173,0.40386412
174,0.35338855
175,0.26009047
176,0.16712895
177,0.06310584
178,0.107136935
179,0.07285327
180,0.091458306
181,0.11660501
182,0.07179248
183,0.09232563
184,0.1208823
185,0.19853309
186,0.281402
187,0.34989196
188,0.38812673
189,0.40935677
190,0.44518766
191,0.44770253
192,0.46523046
193,0.4516103
194,0.4501282
195,0.4182173
196,0.37022913
197,0.33460307
198,0.29837605
199,0.1775103
200,0.1037382
201,0.05126126
202,0.2059977
203,0.162977
204,0.19761276
205,0.15429404
206,0.17402682
207,0.20305249
208,0.2527486
209,0.25721624
210,0.21385707
211,0.2050641
212,0.1574063
213,0.15537637
214,0.16857967
215,0.19633001
216,0.20773801
217,0.22287136
218,0.23617744
219,0.28245407
220,0.31332764
221,0.37800923
222,0.39709634
223,0.27759376
224,0.29576
225,0.24292207
226,0.21328714
227,0.20990252
228,0.2220669
229,0.31420058
230,0.29782146
231,0.32321733
232,0.37354124
233,0.43902743
234,0.49328145
235,0.547534
236,0.50789595
237,0.48145586
238,0.46500486
239,0.44984365
240,0.4329509
241,0.41717297
242,0.39694828
243,0.40775692
244,0.43458784
245,0.44766855
246,0.46574822
247,0.32893902
248,0.26729953
249,0.25613716
250,0.1887241
251,0.17458224
252,0.19778228
253,0.25531757
254,0.25612026
255,0.24443054
256,0.24769802
257,0.31208727
258,0.34298325
259,0.34458092
260,0.39715892
261,0.36713213
262,0.36807203
263,0.33829647
264,0.31891358
265,0.30162734
266,0.28110567
267,0.26344287
268,0.304909
269,0.31840962
270,0.33507597
271,0.29223514
272,0.18816796
273,0.15725689
274,0.16435888
275,0.17368549
276,0.20384382
277,0.22162643
278,0.23907994
279,0.22638565
280,0.2293964
281,0.26330414
282,0.34176245
283,0.3911652
284,0.4094852
285,0.38280696
286,0.3842327
287,0.38319403
288,0.3814365
289,0.34894496
290,0.33289766
291,0.31291875
292,0.29595372
293,0.33793268
294,0.3524772
295,0.2793799
296,0.22088861
297,0.23254526
298,0.24043128
299,0.24139883
300,0.21203807
301,0.20011851
302,0.18256144
303,0.13610604
304,0.10575232
305,0.13367319
306,0.12776265
307,0.09709737
308,0.05200641
309,0.111607015
310,0.18429239
311,0.228395
312,0.3125748
313,0.31627807
314,0.3195933
315,0.30796105
316,0.30727866
317,0.33672622
318,0.3213769
319,0.2606273
320,0.20009586
321,0.20986317
322,0.21807998
323,0.18825375
324,0.14530164
325,0.14318082
326,0.15328829
327,0.1230606
328,0.20157862
329,0.32424536
330,0.37758797
331,0.42071787
332,0.38153628
333,0.35452944
334,0.3091613
335,0.27647516
336,0.24335238
337,0.24061379
338,0.25021216
339,0.24487199
340,0.20971794
341,0.19339254
342,0.17320323
343,0.15680549
344,0.11015782
345,0.109241575
346,0.119889736
347,0.031820983
348,0.04952301
349,0.14777838
350,0.18861254
351,0.2124823
352,0.31776875
353,0.35256797
354,0.3715607
355,0.37784022
356,0.39730084
357,0.38282284
358,0.38278356
359,0.32081097
360,0.25489366
361,0.20482329
362,0.18201785
363,0.20461947
364,0.1689872
365,0.15752073
366,0.13854857
367,0.094371736
368,0.122541994
369,0.2699905
370,0.2537566
371,0.3319776
372,0.38946503
373,0.40909392
374,0.41518354
375,0.40445125
376,0.3441418
377,0.34529382
378,0.32616115
379,0.30846053
380,0.31917673
381,0.3138066
382,0.3100787
383,0.27582112
384,0.28973532
385,0.256563
386,0.3024949
387,0.3169698
388,0.30585045
389,0.31018323
390,0.24931975
391,0.10255021
392,0.16106823
393,0.317868
394,0.29973266
395,0.30852115
396,0.30021513
397,0.26888627
398,0.28454792
399,0.25001466
400,0.23460731
401,0.18582651
402,0.21420854
403,0.2715602
404,0.26798132
405,0.2872966
406,0.27249554
407,0.27321494
408,0.3038841
409,0.3515532
410,0.3227409
411,0.2970116
412,0.2811398
413,0.26536623
414,0.27977505
415,0.21634376
416,0.15609081
417,0.07973428
418,0.04640962
419,0.022309154
420,0.103777066
421,0.15589368
422,0.20876789
423,0.26153815
424,0.25150114
425,0.24108276
426,0.24523492
427,0.24507569
428,0.21264806
429,0.1986604
430,0.14992917
431,0.1165674
432,0.11162332
433,0.0918501
434,0.13348705
435,0.11423786
436,0.116839215
437,0.11718178
438,0.11716984
439,0.08860402
440,0.045626655
441,0.29465175
442,0.26891905
443,0.29416066
444,0.30869415
445,0.3575158
446,0.3908985
447,0.36218387
448,0.30257767
449,0.2705779
450,0.23518556
451,0.19996852
452,0.13635966
453,0.08760689
454,0.06701967
455,0.11762029
456,0.18415765
457,0.23490776
458,0.22577043
459,0.25146687
460,0.26974165
461,0.32171276
462,0.32568046
463,0.2814299
464,0.20862451
465,0.10076073
466,0.083877265
467,0.058080494
468,0.08074798
469,0.07360713
470,0.13319966
471,0.12879896
472,0.17877248
473,0.18082997
474,0.29506397
475,0.36046493
476,0.42806002
477,0.4989144
478,0.5063845
479,0.51381737
480,0.5026304
481,0.53313243
482,0.49304816
483,0.4478023
484,0.4743595
485,0.44204563
486,0.42624637
487,0.2876169
488,0.2662422
489,0.32621357
490,0.27464843
491,0.29659644
492,0.26270434
493,0.27979693
494,0.2780741
495,0.2802305
496,0.28234124
497,0.34840214
498,0.34763384
499,0.36888534
500,0.38655776
501,0.37180108
502,0.37265128
503,0.34144437
504,0.29172733
505,0.28693312
506,0.2350919
507,0.20047654
508,0.16507065
509,0.13046874
510,0.097108305
511,0.06446096
512,0.03236237
513,0.17474237
514,0.10439974
515,0.119915664
516,0.15358548
517,0.19919556
518,0.17023374
519,0.176952
520,0.21062602
521,0.22638339
522,0.2752027
523,0.27547842
524,0.3567017
525,0.40424383
526,0.4203676
527,0.42472085
528,0.43997142
529,0.42622995
530,0.3971988
531,0.37953842
532,0.36330703
533,0.345427
534,0.3301766
535,0.25230938
536,0.1784811
537,0.14362589
538,0.14733458
539,0.09829819
540,0.07032949
541,0.03692767
542,0.033534467
543,0.042655677
544,0.10094848
545,0.16150211
546,0.21403179
547,0.23481354
548,0.23941177
549,0.19734348
550,0.15191597
551,0.120474055
552,0.11533128
553,0.1577552
554,0.19911018
555,0.19601181
556,0.2446486
557,0.27644438
558,0.2783114
559,0.233887
560,0.13065477
561,0.1914517
562,0.18011567
563,0.124344885
564,0.0982382
565,0.065115124
566,0.033275515
567,0.11848433
568,0.14088416
569,0.24236707
570,0.2789942
571,0.33230022
572,0.3245052
573,0.3436356
574,0.30073106
575,0.31646675
576,0.28407115
577,0.26749095
578,0.21812986
579,0.18321198
580,0.1770339
581,0.15716663
582,0.19875415
583,0.120605886
584,0.096645474
585,0.15160923
586,0.15884583
587,0.120233685
588,0.1404948
589,0.13842753
590,0.1399901
591,0.14205442
592,0.20673807
593,0.30250224
594,0.3989276
595,0.45059264
596,0.45707422
597,0.4326565
598,0.4336127
599,0.37200952
600,0.3081212
601,0.25562385
602,0.26480067
603,0.2722359
604,0.27051973
605,0.27014562
606,0.23865806
607,0.1371924
608,0.13658457
609,0.1843927
610,0.16590273
611,0.14197817
612,0.13056126
613,0.1446993
614,0.1739225
615,0.22270098
616,0.32155788
617,0.38708118
618,0.42278916
619,0.47425067
620,0.43404672
621,0.40488672
622,0.35751155
623,0.32149953
624,0.28561985
625,0.24982059
626,0.24353689
627,0.1938575
628,0.19290704
629,0.20084506
630,0.25897163
631,0.19863263
632,0.19329575
633,0.2357425
634,0.18950404
635,0.11940968
636,0.10724568
637,0.10239823
638,0.11419767
639,0.112672314
640,0.1433653
641,0.15920156
642,0.23798563
643,0.31822947
644,0.4140573
645,0.40285143
646,0.40529007
647,0.39462897
648,0.39236224
649,0.36190563
650,0.34373912
651,0.296307
652,0.26345897
653,0.22906858
654,0.19586585
